INFO:root:cuda_device : 4
eos_m_token : EOS_M
beam_len_bonus : 0.5
mode : unknown
m : TSD
prev_z_method : separate
dataset : camrest
seed : 0
vocab_size : 800
embedding_size : 50
hidden_size : 50
split : (9, 1, 5)
lr : 0.003
lr_decay : 0.5
layer_num : 1
z_length : 16
max_ts : 50
early_stop_count : 5
cuda : True
vocab_path : ./vocab/vocab-multiwoz_sys.pkl
data : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/rest_sys.json
entity : ./data/multi_woz/ontology.json
db : /data/qkun/simulator/data/multiwoz-master/data/multi-woz/restaurant_db.json
model_path : ./models/multiwoz_sys915.pkl
result_path : ./results/multiwoz_sys.csv
glove_path : ../sequicity/data/glove/glove.6B.50d.txt
batch_size : 32
degree_size : 5
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 1
spv_proportion : 100
new_vocab : True
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False

INFO:root:Device: 4
INFO:root:761 known embedding. old mean: 0.009919 new mean 0.039230, old std 1.000853 new std 0.688702
INFO:root:loss:13.177251815795898 pr_loss:6.515036582946777 m_loss:6.662215232849121 grad:1.567121506750313
INFO:root:loss:12.199928283691406 pr_loss:5.747875690460205 m_loss:6.452053070068359 grad:2.37336101063035
INFO:root:loss:11.325584411621094 pr_loss:5.086369037628174 m_loss:6.23921537399292 grad:3.7020006261270075
INFO:root:loss:10.133697509765625 pr_loss:4.134041786193848 m_loss:5.999655723571777 grad:6.398167197799305
INFO:root:loss:8.585917472839355 pr_loss:2.9150450229644775 m_loss:5.670872688293457 grad:4.1468891250001905
INFO:root:loss:7.892978668212891 pr_loss:2.3880765438079834 m_loss:5.504901885986328 grad:2.6480745615520624
INFO:root:loss:7.553582668304443 pr_loss:1.8872281312942505 m_loss:5.666354656219482 grad:2.454289395700326
INFO:root:loss:9.607429504394531 pr_loss:4.479250907897949 m_loss:5.12817907333374 grad:5.213797100856433
INFO:root:loss:8.50374984741211 pr_loss:3.5594420433044434 m_loss:4.944307327270508 grad:7.37379928718019
INFO:root:loss:8.686535835266113 pr_loss:3.6204421520233154 m_loss:5.066093921661377 grad:7.892524402533484
INFO:root:loss:6.729963302612305 pr_loss:1.6131436824798584 m_loss:5.116819858551025 grad:3.0238907347681105
INFO:root:loss:11.773122787475586 pr_loss:6.957491874694824 m_loss:4.8156304359436035 grad:17.39020353451003
INFO:root:loss:6.501163959503174 pr_loss:1.7614750862121582 m_loss:4.739688873291016 grad:3.939999099693733
INFO:root:loss:6.7102131843566895 pr_loss:1.8505076169967651 m_loss:4.859705448150635 grad:6.550764008712859
INFO:root:loss:6.119612693786621 pr_loss:1.2618615627288818 m_loss:4.85775089263916 grad:3.589533337299619
INFO:root:loss:10.615630149841309 pr_loss:5.775503158569336 m_loss:4.840126991271973 grad:17.267231404440157
INFO:root:loss:6.838729381561279 pr_loss:1.8986717462539673 m_loss:4.940057754516602 grad:6.403866425799406
INFO:root:loss:6.610368728637695 pr_loss:1.3838640451431274 m_loss:5.226504802703857 grad:7.834802541486727
INFO:root:loss:5.426600456237793 pr_loss:1.0075839757919312 m_loss:4.419016361236572 grad:3.2169717208343616
INFO:root:loss:6.458378791809082 pr_loss:0.926753580570221 m_loss:5.531625270843506 grad:3.36753765253211
INFO:root:loss:6.160107612609863 pr_loss:0.8243867754936218 m_loss:5.335721015930176 grad:3.5319583196359265
INFO:root:loss:5.679879188537598 pr_loss:0.734910249710083 m_loss:4.9449687004089355 grad:2.6288521767328503
INFO:root:loss:5.20063591003418 pr_loss:0.6634598970413208 m_loss:4.537176132202148 grad:3.5777514892135565
INFO:root:loss:5.50146484375 pr_loss:0.577973484992981 m_loss:4.923491477966309 grad:6.881577477723234
INFO:root:loss:5.407160758972168 pr_loss:0.5071297287940979 m_loss:4.900031089782715 grad:7.235960774527677
INFO:root:loss:6.106911659240723 pr_loss:1.0720365047454834 m_loss:5.03487491607666 grad:4.5697677673291315
INFO:root:loss:7.7516655921936035 pr_loss:2.986721992492676 m_loss:4.764943599700928 grad:4.891191869595564
INFO:root:loss:6.67708158493042 pr_loss:1.7339407205581665 m_loss:4.943140983581543 grad:3.1816049494241
INFO:root:loss:5.6792731285095215 pr_loss:0.9025163650512695 m_loss:4.776756763458252 grad:2.519818060007057
INFO:root:loss:7.320225715637207 pr_loss:2.426152229309082 m_loss:4.894073486328125 grad:4.508615641300696
INFO:root:loss:6.110144138336182 pr_loss:1.2989932298660278 m_loss:4.811151027679443 grad:2.7610751816740624
INFO:root:loss:5.973296165466309 pr_loss:1.2517497539520264 m_loss:4.721546649932861 grad:2.7726803252995564
INFO:root:loss:5.425319194793701 pr_loss:0.6511324644088745 m_loss:4.774186611175537 grad:2.5277840339828113
INFO:root:loss:6.835916519165039 pr_loss:1.9004871845245361 m_loss:4.935429573059082 grad:3.584930948747592
INFO:root:loss:6.064047336578369 pr_loss:1.0871869325637817 m_loss:4.976860523223877 grad:1.8239032862544764
INFO:root:loss:6.133884906768799 pr_loss:1.4498430490493774 m_loss:4.684041976928711 grad:2.061539862495131
INFO:root:loss:5.223380088806152 pr_loss:0.8341915607452393 m_loss:4.389188289642334 grad:1.8930355072622687
INFO:root:loss:6.367361068725586 pr_loss:1.4643580913543701 m_loss:4.903002738952637 grad:2.6968870913915812
INFO:root:loss:5.753731727600098 pr_loss:0.9873335361480713 m_loss:4.7663984298706055 grad:2.4261138907602513
INFO:root:loss:5.778286933898926 pr_loss:1.0875216722488403 m_loss:4.690765380859375 grad:2.6744780911309016
INFO:root:loss:5.663455009460449 pr_loss:0.9487253427505493 m_loss:4.7147297859191895 grad:1.4321020621534093
INFO:root:loss:5.4699931144714355 pr_loss:0.8980308771133423 m_loss:4.571962356567383 grad:1.370449147831667
INFO:root:loss:4.9737324714660645 pr_loss:0.6293483972549438 m_loss:4.34438419342041 grad:2.0122254089423874
INFO:root:loss:5.895643711090088 pr_loss:1.2063435316085815 m_loss:4.689300060272217 grad:2.5514607854205202
INFO:root:loss:5.686638832092285 pr_loss:1.030566930770874 m_loss:4.65607213973999 grad:2.30319532680148
INFO:root:loss:5.435207366943359 pr_loss:0.9735366702079773 m_loss:4.461670875549316 grad:1.9149730610753868
INFO:root:loss:4.789400577545166 pr_loss:0.5261923670768738 m_loss:4.263208389282227 grad:1.3652324831786813
INFO:root:loss:5.533298969268799 pr_loss:0.8575144410133362 m_loss:4.675784587860107 grad:1.745261932995609
INFO:root:loss:5.570192813873291 pr_loss:0.7698062062263489 m_loss:4.800386428833008 grad:3.463833896576546
INFO:root:loss:5.289866924285889 pr_loss:0.5691922307014465 m_loss:4.720674514770508 grad:2.577032255182998
INFO:root:loss:5.322918891906738 pr_loss:0.5416635870933533 m_loss:4.78125524520874 grad:2.2068093473810717
INFO:root:loss:5.36187219619751 pr_loss:0.5390639901161194 m_loss:4.822808265686035 grad:2.069762265680642
INFO:root:loss:5.301114082336426 pr_loss:0.45807725191116333 m_loss:4.843036651611328 grad:1.8206376121564136
INFO:root:loss:5.127829074859619 pr_loss:0.4654594361782074 m_loss:4.662369728088379 grad:1.583835256830864
INFO:root:loss:4.541903495788574 pr_loss:0.32670965790748596 m_loss:4.215193748474121 grad:2.0257789277980307
INFO:root:loss:5.825364112854004 pr_loss:1.2316975593566895 m_loss:4.5936665534973145 grad:6.251511738634499
INFO:root:loss:5.573429107666016 pr_loss:1.1508336067199707 m_loss:4.422595500946045 grad:5.960554381387194
INFO:root:loss:5.315019607543945 pr_loss:0.6863089799880981 m_loss:4.628710746765137 grad:2.745755386636125
INFO:root:loss:5.285264492034912 pr_loss:0.6286728978157043 m_loss:4.656591415405273 grad:1.7060594521368404
INFO:root:loss:4.778977394104004 pr_loss:0.4308715760707855 m_loss:4.3481059074401855 grad:1.9548771161605805
INFO:root:loss:4.712267875671387 pr_loss:0.27823522686958313 m_loss:4.434032440185547 grad:1.4048119096404657
INFO:root:loss:7.397566318511963 pr_loss:2.876859188079834 m_loss:4.520707130432129 grad:3.5762737673589884
INFO:root:loss:5.7327799797058105 pr_loss:1.1553171873092651 m_loss:4.577462673187256 grad:5.336862407835053
INFO:root:loss:5.648317337036133 pr_loss:1.0639498233795166 m_loss:4.584367275238037 grad:3.372813664097167
INFO:root:loss:5.885751247406006 pr_loss:1.2993998527526855 m_loss:4.58635139465332 grad:2.9641555530495336
INFO:root:loss:5.249589443206787 pr_loss:0.6433568596839905 m_loss:4.606232643127441 grad:1.2851696420579988
INFO:root:loss:4.802567481994629 pr_loss:0.5857105851173401 m_loss:4.216856956481934 grad:1.2838128813722478
INFO:root:loss:4.618546485900879 pr_loss:0.41640686988830566 m_loss:4.202139854431152 grad:1.6783631113435784
INFO:root:loss:4.667417526245117 pr_loss:0.5590967535972595 m_loss:4.108320713043213 grad:3.5215610621691376
